Comment,Location,UserId,Compound,Negative,Neutral,Positive,PublishedDate,UpdateDate
"That is a lot like our auspost parcel lockers, except you have to feed them your mobile number AND your magic code.", ,Max Bainrot,0.4215,0.0,83.3,16.7,2016-01-24 20:46:48,2016-01-24 20:46:48
We have this in Australia as well which is run by Aust Post. Quite handy., ,Dementos,0.2732,0.0,87.0,13.0,2016-01-08 11:29:39,2016-01-08 11:29:39
"Polish invention ^^ Pack'O'Matic, in free translation ""Paczkomat"", really.", ,le' nikt,0.5106,0.0,70.8,29.2,2015-12-19 19:18:37,2015-12-19 19:18:37
I need an Amazon Locker at the back of my house! Last year I had over 200 orders from Amazon.  They are so handy and cheaper than going into town and paying for parking., ,\u2600\ufe0f \uff33\uff55\uff4e\uff4e\uff59 \uff24\uff41\uff59\uff53 \u2600\ufe0f,0.4003,0.0,89.0,11.0,2015-12-06 22:37:06,2015-12-06 22:37:06
does anyone know of a service like this in Canada?\nI tried researching and found a thing called BufferBox but they are now closed and were bought by Google., ,zachary159,0.1901,0.0,93.5,6.5,2015-10-28 09:10:49,2015-10-28 09:10:49
your videos are great, ,wutzerface77,0.6249,0.0,42.3,57.699999999999996,2015-09-29 01:16:34,2015-09-29 01:16:34
In Scotland if you know you won't be home you can put your post office address as the delivery address then pick it up., ,Rob Fraser,0.0,0.0,100.0,0.0,2015-06-27 04:43:42,2015-06-27 04:43:42
"@Rob Fraser But in the East of Scotland, especially coastal areas, the locals have to be aware of Postalium Officitis disease. This is transmitted via multiple entry points when extreme junkies are attempting to cash giros just before and after closing time. Scotland has never been so proud of its history and future.", ,V Whips,0.757,0.0,90.5,9.5,2015-06-27 09:03:41,2015-06-27 09:03:41
"Good stuff. Using this for the first time tomorrow. If goes well, might consider getting Amazon prime.", ,Peter Ngoc Van Nguyen,0.6908,0.0,67.60000000000001,32.4,2015-05-18 00:30:30,2015-05-18 00:30:30
Sad times Peach is no longer in Standish :'(, ,bex2910,-0.8176,58.599999999999994,41.4,0.0,2015-03-05 20:34:59,2015-03-05 20:34:59
"In Poland we have something called ""Paczkomaty"" It's similar but you can send your package thru them and most e-shops \xa0have option to send it to one of them.\xa0\n\nhttp://upload.wikimedia.org/wikipedia/commons/a/a6/Polish_Packstation.jpg", ,Micha\u0142 Makowski,0.0,0.0,100.0,0.0,2015-02-09 23:45:52,2015-02-09 23:45:52
Hm where I live they just leave the package outside your door., ,Heem Lo,-0.0516,10.7,89.3,0.0,2015-02-07 06:28:40,2015-02-07 06:28:40
"Amazon Locker is a liability and a joke. They appear to hold about 12 parcels. Really useful when 45,000 people decide to order!!!! Then there is theft...", ,CrimeJail,0.7551,5.800000000000001,67.60000000000001,26.6,2015-01-15 14:09:01,2015-01-15 14:09:01
"In Norway, you can deliver the package to a convenience store near you and then pick it up from the counter there anytime of the day. Also it's free shipping. :)", ,Harald S.,0.743,0.0,81.6,18.4,2015-01-12 17:18:59,2015-01-12 17:18:59
Similar thing Amazon does in India as well., ,seeameya,0.4215,0.0,61.199999999999996,38.800000000000004,2016-10-26 08:42:22,2016-10-26 08:42:22
"+Techmoan It's nice to have this - I recently moved, and as such the nearest Packstation is far enough away, that the 200m near DeutschePost place is the better fit.", ,Andre Kl\xe4rner,0.802,0.0,75.3,24.7,2016-02-17 16:40:35,2016-02-17 16:40:35
cool video. thanks for making me smile at end., ,bhavin pithawala,0.7717,0.0,43.8,56.2,2014-11-29 11:12:06,2014-11-29 11:12:06
Why isn't the U.S. funding those?, ,Scott Boudreau,0.0,0.0,100.0,0.0,2014-11-08 21:51:09,2014-11-08 21:51:09
The Finnish Post has the same kind of locker system. It's called SmartPost. Many online shops have this option and it costs less than home delivery. Sometimes it's even free. Delivery SMS says the box will stay in the locker for a week., ,komposiittinyrkki,0.5106,0.0,92.60000000000001,7.3999999999999995,2014-10-05 11:08:58,2014-10-05 11:08:58
"Invention is called ""Pack-Station"" from DHL-Germany. I have been using it for years now but giving it up though. Problem is, that people use it as a safe for their parcels for the maxiumum time of ten days. So when your parcel is delivered to one of these full stations, it cannot be stored there and returns to the GPO in your city. Thats' quite annoying.", ,Judge Sauter,-0.1505,10.100000000000001,80.5,9.3,2014-08-20 08:24:24,2014-08-20 08:24:24
"I have yet to see these in the USA,all the hype and no lockers anywhere and Im near there main headquarters. Now days to many people go around stealing your packages you have delivered at home and some postal folks never bother to ring your doorbell so you know they left something at the door.", ,TekReviews,-0.5946,10.0,86.5,3.5000000000000004,2014-08-16 09:36:07,2014-08-16 09:36:07
Thats a neat idea....I wish we had them in Oz..... Actually. Wouldnt make much difference to me as I dont shop on amazon....opsss....lol.\n\nRob, ,RDPproject,0.6908,0.0,76.9,23.1,2014-08-05 14:00:12,2014-08-05 14:00:12
what is your favourite action cam? balancing the price but also quality., ,Connor Mullan,0.0,0.0,100.0,0.0,2014-07-09 13:03:06,2014-07-09 13:03:06
"I really don't rate these amazon pickup thingy ma jigs!  The one in this video looks great in a bright supermarket, but there is one near me in a dark corner of a petrol station.  Some poor not very security conscious person collects there brand new expensive gadget only for some scumbag to come along and take said item from poor victim.  ", ,MrCrouchy,-0.9564,28.000000000000004,66.10000000000001,5.8999999999999995,2014-07-08 19:05:51,2014-07-08 19:05:51
"We have something like that here, only its though Australia Post.\n\nSame idea, you send it to a Parcel locker address with your customer number.\nGet an SMS and/or email when it arrives then go and pick it up with your code provided.\n\nOnly annoying thing is it only works with post not couriers. and some international company's post wont send to it.\n\nIts a great Idea, but I think the postal service doing it makes more sense than a specific retailer.... Unless we get Ebay boxes.\n\nOh and its free too, well free to use.\nMaybe royal mail should consider doing it too.", ,Philip Anderson,0.9325,1.7999999999999998,83.3,15.0,2014-07-08 08:53:58,2014-07-08 08:54:58
We've got these in Finland for the national postal service and they're pretty damn awesome. I can transfer all my mail and internet shopping into that them well. Pretty cheap to send packages via them as well., ,Esa Edvik,0.9001,5.7,63.3,31.0,2014-07-06 23:26:01,2014-07-06 23:26:01
"Amazing, the price for the old essential is almost the same in Moscow.\nIn doubt the price for pike's caviar would be any near equal.", ,Ed Dubnitsky,0.3182,8.799999999999999,77.7,13.4,2014-06-29 22:21:50,2014-06-29 22:21:50
"In Germany we have somethings similar. It is called ""Packstation"" and is operated by DHL.\nOne can not only receive parcels from Amazon but any parcel delivered through DHL.\nhttp://www.dhl.de/de/paket/pakete-empfangen/packstation.html", ,bangser,0.09,0.0,95.19999999999999,4.8,2014-06-22 11:26:50,2014-06-22 11:26:50
i wounder what happens if you close the door with the parcel still in there, ,ReabowRotors,0.0,0.0,100.0,0.0,2014-06-20 22:48:40,2014-06-20 22:48:40
yooooouuu alcoholic!!!!, ,ben V,0.0,0.0,100.0,0.0,2014-06-12 18:13:44,2014-06-12 18:13:44
Oh cool!, ,Brad Herder,0.3802,0.0,27.800000000000004,72.2,2014-06-12 12:28:38,2014-06-12 12:28:38
Disappointing that US doesn't have this!!, ,PapayaMan,-0.5837,43.1,56.89999999999999,0.0,2014-06-11 08:12:16,2014-06-11 08:12:16
We do now :), ,Nicole3900,0.4588,0.0,50.0,50.0,2018-10-16 01:59:41,2018-10-16 01:59:41
Congrats on 20 million views., ,Big Guy Review,0.5267,0.0,54.1,45.9,2014-06-09 16:55:03,2014-06-09 16:55:03
now that is very cool, ,RocketDogRc.com,0.3804,0.0,60.699999999999996,39.300000000000004,2014-06-08 23:37:57,2014-06-08 23:37:57
"Every time I see this damn video I think it says, \xa0""The Amazing Locker Experience"". \xa0I am so disappoint when it's not. lol", ,Sid Sideslip,-0.6308,30.099999999999998,57.099999999999994,12.8,2014-06-08 00:23:34,2014-06-08 00:23:34
dude needs ios7\xa0, ,William Dubois,0.0,0.0,100.0,0.0,2014-06-05 04:42:53,2014-06-05 04:42:53
"@Techmoan\xa0I was only joking sir. No worries. Keep up the great work, I'm a huge fan of the channel.", ,William Dubois,0.6808,18.099999999999998,43.5,38.4,2014-06-06 01:53:14,2014-06-06 01:53:14
Nice drink , ,M\xe1rio Rocha,0.4215,0.0,26.3,73.7,2014-06-04 19:07:00,2014-06-04 19:07:00
Your videos are always great!!\nKeep'em coming !!, ,pakpukik,0.0,0.0,100.0,0.0,2014-06-02 12:49:53,2014-06-02 12:49:53
Coop?, ,Zombee Derpy,0.0,0.0,100.0,0.0,2014-06-01 13:35:11,2014-06-01 13:35:11
Ooooo that's a nifty feature. Considering my packages get delivered the freaking moment I have to step out for work. , ,Miguel Angel Medina Rise,-0.0258,13.0,74.4,12.6,2014-06-01 03:34:39,2014-06-01 03:34:39
"Thanks for sharing, I've never used Amazon much but this options makes buying stuff from them even more convenient.", ,gothicel,0.38,6.0,75.8,18.2,2014-05-31 15:44:58,2014-05-31 15:44:58
Gotta love the modern day shopping experience.\xa0, ,James Smith,0.6369,0.0,58.8,41.199999999999996,2014-05-30 19:12:37,2014-05-30 19:12:37
"This is quite interesing.\nThose are pretty much the same Boxes DHL/Deutsche Post uses here for their Packstation system. They work quite well, theretically. If the Post would not constantly deliver my stuff toe the Packstation nearly out of town instead in the one right in front of my workplace where I adressed it to.", ,Tilman Baumann,0.7056,0.0,89.7,10.299999999999999,2014-05-30 17:17:31,2014-05-30 17:17:31
ACK.  Doing that more and more., ,Tilman Baumann,0.0,0.0,100.0,0.0,2014-05-31 07:11:59,2014-05-31 07:11:59
"Yeah, the one in Durlach seems to be much too small, I had similar problems. Anyway, you can get your stuff delivered directly to your workplace, much easier...", ,Frank Lichtenheld,-0.128,9.0,83.6,7.3999999999999995,2014-05-31 07:05:18,2014-05-31 07:05:18
Cool, ,InstincT Alloyz,0.3182,0.0,0.0,100.0,2014-05-30 08:49:20,2014-05-30 08:49:20
I remember this video., ,mav6771,0.0,0.0,100.0,0.0,2014-05-30 03:56:26,2014-05-30 03:56:26
Can you do returns through the lockers?, ,random_task,0.0,0.0,100.0,0.0,2014-05-30 01:51:08,2014-05-30 01:51:08
Here in Estonia we just send packages to each other using locker method for 2-3 years already. It is about 30% cheaper than normal post office. Also you can order stuff online like in video. One company puts their lockers inside (like shops) another puts outside of the shop and lockers are operational 24/7., ,Arnis,0.3612,0.0,95.5,4.5,2014-05-29 23:02:08,2014-05-29 23:02:08
Not ordering anything from Amazon till they pay their taxes and treat their workers better., ,Colin Cheesman,0.7096,7.1,55.800000000000004,37.1,2014-05-29 20:55:38,2014-05-29 20:55:38
I knew about local pickup from shops but this is pretty cool no queuing no fuss. So many delivery choices with amazon., ,Billy Bass,0.5719,18.099999999999998,51.800000000000004,30.099999999999998,2014-05-29 19:44:19,2014-05-29 19:44:19
Not only good taste in cameras you have but in vodkas as well.  Russian Standard : ) Good choice my friend, ,Alexander Shevtsov,0.8778,6.2,54.50000000000001,39.300000000000004,2014-05-29 19:44:00,2014-05-29 19:44:00
"o.k. @Techmoan now you got me. a review of a good product, with video runlength a lot below 5 minutes.", ,rarbi.art,0.4404,0.0,83.8,16.2,2014-05-29 18:54:25,2014-05-29 18:54:25
Can you do a video on the charger stations? There in John Lewis! , ,zquigleyp,0.0,0.0,100.0,0.0,2014-05-29 13:38:22,2014-05-29 13:38:22
"We have these in Australia, but ran by Australia post so we can get anything delivered to them", ,Will Stock,0.0,0.0,100.0,0.0,2014-05-29 13:31:38,2014-05-29 13:31:38
"We have this in Finland too, but its ran by regular postal service. I don't know why it wasn't implemented before, they could had done it decades ago.", ,miiiikku,0.0,0.0,100.0,0.0,2014-05-29 09:47:31,2014-05-29 09:47:31
+miiiikku We have the same system here in Denmark - i.e. run by the postal service., ,BertyFromDK,0.0,0.0,100.0,0.0,2017-07-07 15:40:51,2017-07-07 15:40:51
The UK likes the traditional way of doing things thats why, ,Lotfi Kaz Film,0.4215,0.0,78.10000000000001,21.9,2014-05-31 22:56:03,2014-05-31 22:56:03
"The Amazon locker is a pretty good idea. That ""odd essential"" is my favorite brand of vodka. Friend of mine brought some back with him from Russia. I was happy to find it in our local liquor stores here in the States.", ,Rusty Winegar,0.9371,4.3,62.3,33.4,2014-05-29 09:39:47,2014-05-29 09:40:27
Ye old essential Vodka :), ,AlexGP90,0.4588,0.0,57.099999999999994,42.9,2014-05-29 08:48:12,2014-05-29 08:48:12
Lockers are cool! Latvian Post has them all over the big cities., ,Alexander Ivanov,0.3802,0.0,80.9,19.1,2014-05-29 08:33:35,2014-05-29 08:33:35
Great video as per usual. Straight to the point. You're a pro. You are appreciated. :-), ,JD Transport,0.891,0.0,48.699999999999996,51.300000000000004,2014-05-29 08:22:48,2014-05-29 08:22:48
That's a cool idea! Never knew such a thing existed :-), ,ravenryuu,0.5983,0.0,58.9,41.099999999999994,2014-05-29 07:51:00,2014-05-29 07:51:00
@Techmoan what camera do you use to film this video?, ,tititmanja,0.0,0.0,100.0,0.0,2014-05-29 07:21:35,2014-05-29 07:21:35
Sir I love the new mini Videos.\xa0 Good on ya., ,80'sTotallyAwesome,0.7964,0.0,49.6,50.4,2014-05-29 06:44:40,2014-05-29 06:44:40
"They are trialling them here with Australia Post, looks pretty good to me.", ,MrCods,0.7269,0.0,64.3,35.699999999999996,2014-05-29 06:31:00,2014-05-29 06:31:00
theres no such thing in the us?, ,723lion,-0.296,26.8,73.2,0.0,2014-05-29 06:11:27,2014-05-29 06:11:27
Informative video like always.. had no idea this existed. Thanks for sharing.\xa0, ,JimmyMartian,0.4939,13.3,54.2,32.5,2014-05-29 03:15:58,2014-05-29 03:15:58
I didn't know your lunchtime is at 7:13 in the morning, ,Bright Ivan,0.0,0.0,100.0,0.0,2014-05-29 02:29:39,2014-05-29 02:29:39
Not everyone is alike :) I have my breakfast at 10-11 and lunch at 3-5pm etc., ,Esa Edvik,0.4588,0.0,82.39999999999999,17.599999999999998,2014-07-06 23:27:28,2014-07-06 23:27:28
Now that is cool!, ,ChrisAstro,0.3802,0.0,53.6,46.400000000000006,2014-05-29 00:40:47,2014-05-29 00:40:47
One simple code to use. I thought it may be more complicated., ,Maxsdiscos,0.0,0.0,100.0,0.0,2014-05-29 00:18:42,2014-05-29 00:18:42
Very cool. \xa0I hope we get those here soon., ,frollard,0.6962,0.0,54.900000000000006,45.1,2014-05-29 00:17:29,2014-05-29 00:17:29
Russian Standard! :D, ,Granite,0.6514,0.0,31.6,68.4,2014-05-29 00:15:10,2014-05-29 00:15:10
Granite a, ,J\xfcrgen Bloch,0.0,0.0,100.0,0.0,2018-02-09 14:41:27,2018-02-09 14:41:27
"In Japan, you can deliver the package to a convenience store near you and then pick it up from the counter there anytime of the day. I haven't actually tried that, however, as I mostly schedule my packages to be delivered at a specific time slot (e.g. 8-12, 12-14, 14-16... etc). Scheduling will cause a slight delay when compared to the fast shipping provided by Prime (something like half a day later or so).", ,Fanta711,0.0516,3.2,93.2,3.5000000000000004,2014-05-29 00:08:53,2014-05-29 00:08:53
@HB45175\xa0I live in an apartment in Seattle and US post drop the mail off in a mailbox in the parking lot and anything that won't fit they put outside my door even if I am not at home. Rarely they hide it behind a plant or under the welcome mat but I have never had a package stolen in 4+ years here so it works fine even for big items like a laptop which they can't hide.\xa0, ,DrScopeify,0.857,3.9,80.30000000000001,15.8,2014-08-13 04:21:41,2014-08-13 04:21:41
@Fanta711 You go to the petrol station or grocery store and they'll send it for you., ,HB45175,0.0,0.0,100.0,0.0,2014-06-02 17:39:16,2014-06-02 17:39:16
Sigh wish I can say the same here haha, ,AV8R Jerry,0.7003,0.0,42.4,57.599999999999994,2014-06-02 11:05:29,2014-06-02 11:05:29
"@Jerry Law Gotta say the quality of food in the convenience stores in Japan (lunch boxes, sandwiches and fried food among others) is surprisingly great. 7-Eleven's onigiri are just awesome.", ,Fanta711,0.886,0.0,72.2,27.800000000000004,2014-06-02 11:04:37,2014-06-02 11:04:37
Yeah same here also they aint the fresh for item like bread and pie. Most supermarket in the city close at midnight on the weekday and 10 on sat then 8 on sunday :), ,AV8R Jerry,0.6945,5.1,75.0,19.900000000000002,2014-06-02 10:32:18,2014-06-02 10:32:18
"@Jerry Law While they are quite convenient, I usually try to avoid buying by from them since they are more expensive than supermarkets and grocery shops (which usually close between 7-8PM with some closing around 10PM).", ,Fanta711,-0.296,6.1,93.89999999999999,0.0,2014-06-02 10:03:07,2014-06-02 10:03:07
"@Fanta711 well you see in Australia we dont have much convenient stores around, a lot in the CBD or some call downtown but hardly any outside that.", ,AV8R Jerry,0.1406,0.0,94.19999999999999,5.800000000000001,2014-06-02 06:02:35,2014-06-02 06:02:35
"@Jerry Law The thing about those convenience stores in Japan is that they are open 24/7. Otherwise, it won't mean much to forward the packages there.", ,Fanta711,0.0,0.0,100.0,0.0,2014-06-02 05:07:43,2014-06-02 05:07:43
"@HB45175 Wait, what? If the postal service closed all its offices, how do you send stuff?", ,Fanta711,0.0,0.0,100.0,0.0,2014-06-02 05:06:10,2014-06-02 05:06:10
yeah same some fright company will deliver to a local newsagent but the problem with that is sometime i cant get there before they close and i leave for work before they open haha \xa0, ,AV8R Jerry,-0.0129,16.900000000000002,68.8,14.299999999999999,2014-06-01 12:55:03,2014-06-01 12:55:03
Here in Sweden the postal service closed all their offices and regardless of what you order it'll be sent to a pickup location (which is usually a grocery store or a petrol station). DHL/Schenker etc and whatnot use the same system., ,HB45175,0.0,0.0,100.0,0.0,2014-05-29 21:47:31,2014-05-29 21:47:31
This service would be great if I could actually use it! Every time I order direct from Amazon it says my items are not eligible. The items I've ordered would definitely fit in the locker and I would love to be able to use it., ,Stuntman707,0.9381,0.0,70.5,29.5,2014-05-28 23:34:04,2014-05-28 23:34:04
"As good as Amazon's services are, don't you fancy a moan about their poor tax record? It routed more than \xa311 billion through its Luxembourg-based subsidiary in 2013 \u2013 yet paid only \xa34 million in UK corporation tax last year, only 0.1% of the \xa34.3bn in sales that the company generated in the UK. ", ,Robert Dunsmore,0.0629,5.4,87.0,7.6,2014-05-28 23:21:53,2014-05-28 23:21:53
Like Parcel Motel in Ireland. Very useful indeed., ,jix177,0.6901,0.0,51.300000000000004,48.699999999999996,2014-05-28 23:19:03,2014-05-28 23:19:03
Cool., ,Fresno State Football,0.3182,0.0,0.0,100.0,2014-05-28 23:05:56,2014-05-28 23:05:56
This is pretty cool , ,OnVidJose,0.6705,0.0,26.700000000000003,73.3,2014-05-28 23:01:44,2014-05-28 23:01:44
Very cool, ,turbominivan60,0.3804,0.0,27.800000000000004,72.2,2014-05-28 22:58:02,2014-05-28 22:58:02
"Hope you didnt tried this Vodka, its discrase :D, anyway like your videos, waiting for another ones.\xa0", ,ALFA Team Elblag,0.6597,0.0,73.5,26.5,2014-05-28 22:48:04,2014-05-28 22:48:04
Even though I get everything delivered to the office I kinda want to give this a go just for the novelty value!, ,Stephen Radford,0.4017,0.0,82.1,17.9,2014-05-28 22:38:08,2014-05-28 22:38:08
"Cool, never even knew they did this. :). There's one just round the corner from me too.", ,RedDragonUKTech,0.3182,0.0,87.4,12.6,2014-05-28 22:21:51,2014-05-28 22:21:51
nice, ,MrEdsster,0.4215,0.0,0.0,100.0,2014-05-28 22:13:51,2014-05-28 22:13:51
"I haven't noticed any of those Amazon lockers around here in the Wash., D.C./Northern Virginia area. \xa0A cool idea, nevertheless.", ,John W,0.4588,0.0,81.0,19.0,2014-05-28 22:12:24,2014-05-28 22:12:24
"My local Morrisons has some lockers like those, but they're not Amazon. This seems like a good system and saves the entertaining trips to far off industrial parks to find the parcel courier's building (and then the fun of trying to get into them).", ,James Grimwood,0.9466,3.2,66.2,30.7,2014-05-28 21:56:01,2014-05-28 21:56:01
"This solution has been widely used in Poland for several years. See ""Paczkomaty"" at google :)", ,Marcin Stelmaszczuk,0.6486,0.0,72.5,27.500000000000004,2014-05-28 21:29:17,2014-05-28 21:29:17
+Marcin Stelmaszczuk Im actually wondering if Amazon violated the patents of the InPost., ,WindRider,-0.4019,21.099999999999998,68.30000000000001,10.6,2016-04-04 16:54:15,2016-04-04 16:54:15
"Hermes have lockers too, not tried them, but they're there!", ,CheshireTomcat68,0.0,0.0,100.0,0.0,2014-05-28 21:23:07,2014-05-28 21:23:07
Now 9 years, ,Gucci Trash,0.0,0.0,100.0,0.0,2018-05-17 04:36:34,2018-05-17 04:36:34
"+Techmoan Similar things started to appear here in Hungary, usually operated by some delivery company (the Hungarian Mail has some for example). This means they are not tied to a particular online store although the option is not available in all of them yet. I really like the concept preciesly because most delivery companies deliver during working hours (which strikes me as both being logical and astoundingly illogical at the same time).", ,SomiTomi,0.5256,3.3000000000000003,88.9,7.8,2016-02-22 20:15:05,2016-02-22 20:15:05
um thanx..i thinx:), ,charles keeton,0.0,0.0,100.0,0.0,2014-11-11 18:34:23,2014-11-11 18:34:23
You Rock!!, ,KillerOfDolts,0.0,0.0,100.0,0.0,2014-06-23 00:13:09,2014-06-23 00:13:09
Excellent mini videos. Love your channel and keep up the great work!, ,Frank_Frankerson,0.923,0.0,42.3,57.699999999999996,2014-05-29 23:43:48,2014-05-29 23:43:48
@med icine can you read?, ,Calvin Cai,0.0,0.0,100.0,0.0,2014-05-29 14:06:42,2014-05-29 14:06:42
this video was uploaded a year ago, ,med icine,0.0,0.0,100.0,0.0,2014-05-29 10:23:39,2014-05-29 10:23:39
i never knew that locker was a thing...... amazon never told me...., ,Calvin Cai,0.1779,0.0,84.1,15.9,2014-05-28 23:09:23,2014-05-28 23:09:23
Its good that you make these unlisted so trollers don't go throgh your channel disliking your videos. only real fans of mat would see this video and like it., ,YOGSCAST Jervi,0.4767,6.800000000000001,77.2,16.0,2013-01-27 00:24:30,2013-01-27 00:24:30
1:06 Where are u holding cam. In the CCTV I can't see it. and what cam r u using?, ,YOGSCAST Jervi,0.0,0.0,100.0,0.0,2013-01-26 20:59:52,2013-01-26 20:59:52
i didn't know you put vids here. YAY LOADS of vids., ,YOGSCAST Jervi,0.6289,0.0,68.5,31.5,2013-01-26 14:33:50,2013-01-26 14:33:50
"random question, but as this account is seemingly the same as the 'other' one where you post your DVR videos etc, how come these mini vids are not showing up in my subs?  it seems that i have missed out on quite a bunch of your vids as i don't bother reading your blog seeing as it's just a repeat of your youtube account.", ,john smith,-0.0634,4.3999999999999995,91.5,4.0,2013-01-21 03:39:34,2013-01-21 03:39:34
"They just launched something similar here in Ireland, called Parcel motel. Same idea, you register with them and get an Irish and UK address (you can use the UK one for free amazon shipping and for item ""Only available to ship in the UK""). Costs 3\u20ac50 for 48 hours and they text you your unlock code.\nThe pickup areas are all outside in light up areas so you can get your package anytime.\nIt's a nice idea but got to be careful since amazon sometimes splits your order into a few packages   ", ,Vincent,0.765,0.0,88.6,11.4,2013-01-13 23:08:56,2013-01-13 23:08:56
"I have one several blocks from my house, at a bank.", ,Rich Smith,-0.2263,19.2,80.80000000000001,0.0,2019-05-17 08:59:07,2019-05-17 08:59:07
BS 15min to deal with an amazon no way, ,r k,-0.128,20.200000000000003,64.2,15.6,2019-05-04 02:28:21,2019-05-04 02:28:21
an amazon?, ,BeatTheBush,0.1779,0.0,37.0,63.0,2019-05-04 05:21:57,2019-05-04 05:21:57
Its better than dealing with porch pirates. Damn those thieves., ,Remember Bliss,-0.4767,37.7,44.0,18.2,2019-03-22 20:33:39,2019-03-22 20:33:39
Yeah. This helps a lot., ,BeatTheBush,0.5859,0.0,29.4,70.6,2019-03-22 21:54:41,2019-03-22 21:54:41
nice salad in ur tooth foker, ,Griven,0.4215,0.0,64.1,35.9,2019-02-28 19:03:38,2019-02-28 19:03:38
2:16, ,Griven,0.0,0.0,100.0,0.0,2019-03-04 15:16:25,2019-03-04 15:16:25
?, ,BeatTheBush,0.0,0.0,0.0,0.0,2019-02-28 20:17:38,2019-02-28 20:17:38
what if you get a giant tv though?, ,andy.tv,0.0,0.0,100.0,0.0,2019-02-11 03:35:41,2019-02-11 03:35:41
You wont be allowed to use this as they know the size., ,BeatTheBush,0.0,0.0,100.0,0.0,2019-02-11 05:43:04,2019-02-11 05:43:04
You probably lost 1 million  with that 15 min call \U0001f644, ,Angel Franco,-0.3182,20.4,79.60000000000001,0.0,2019-02-05 07:50:32,2019-02-05 07:50:32
at least, ,JOSETHEBEAST22,0.0,0.0,100.0,0.0,2019-02-16 05:22:50,2019-02-16 05:22:50
I can\u2019t get over the fact that he complained about a 15minute phone call. \U0001f612, ,Ham Man,-0.4019,18.4,81.6,0.0,2019-02-03 06:38:00,2019-02-03 06:38:00
You\u2019re very much a lookalike of my dad, ,Pearl Johnson,0.0,0.0,100.0,0.0,2019-01-22 17:28:24,2019-01-22 17:28:24
=D, ,BeatTheBush,0.5106,0.0,0.0,100.0,2019-01-22 19:36:35,2019-01-22 19:36:35
In Canada we have Canada post Flex Delivery.  If sends to near your local postal outlet.  You get a code and bar code  that the agent can scan to get your packages., ,Dao,0.0,0.0,100.0,0.0,2019-01-22 04:21:02,2019-01-22 04:21:02
Hmmm... I would've like it if there were lockers that just pops open. A person gets it for you then rigth? errr., ,BeatTheBush,0.3612,0.0,88.4,11.600000000000001,2019-01-22 04:23:00,2019-01-22 04:23:00
I shook the locker?  I don't remember doing that., ,BeatTheBush,-0.1027,18.9,81.10000000000001,0.0,2018-12-10 18:51:34,2018-12-10 18:51:34
It's an awesome handy thing to use if you thing nobody will be in and easier than picking up from the post office....then have to pay for parking! Many supermarkets are free to park for so many minutes and this is brill! I had trouble using my bar code as i didn't know to use the thing lol wish it had a tutorial., ,Tardeli costantini,0.9214,5.6000000000000005,72.2,22.2,2018-12-05 08:34:45,2018-12-05 08:34:45
It does allow for more flexibility. You do have to pick it up within a few days so you cannot just leave your item there when you go on vacation for longer than that., ,BeatTheBush,0.5777,0.0,83.89999999999999,16.1,2018-12-05 15:04:48,2018-12-05 15:04:48
They really need more of these., ,Tr0nzoid,0.0,0.0,100.0,0.0,2018-11-29 10:53:17,2018-11-29 10:53:17
Tr0nzoid they hAve tons of these in California inside 7 elevens, ,RICO FROM PICO,0.0,0.0,100.0,0.0,2019-05-15 21:53:36,2019-05-15 21:53:36
Please someone reply...just think out and reply me a right answer.....what happens if I post review when my product is still in AMAZON locker....is it posted as verified purchase review or its get posted as normal review..., ,Funny Moments,0.5766,0.0,87.5,12.5,2018-11-19 18:31:38,2018-11-19 18:31:38
Then why do you ask dummy?, ,Ham Man,0.0,0.0,100.0,0.0,2019-02-03 06:36:55,2019-02-03 06:36:55
No guys it will be normal review..not verified review, ,Funny Moments,-0.296,21.6,78.4,0.0,2018-12-30 03:30:18,2018-12-30 03:30:18
Verified review because it arrived., ,Gisette Saint Lot,0.0,0.0,100.0,0.0,2018-12-29 18:33:06,2018-12-29 18:33:06
Normal review, ,Sean Willis,0.0,0.0,100.0,0.0,2018-12-13 00:09:13,2018-12-13 00:09:13
Let me guess... your cheating on your wife, ,-,-0.5574,34.0,66.0,0.0,2018-11-10 12:20:01,2018-11-10 12:20:01
Ssshhhh, ,Yeezy,0.0,0.0,100.0,0.0,2018-11-19 18:54:38,2018-11-19 18:54:38
Nice video. What kind of video camera do you use?!!! \U0001f603, ,15Th15f0rR34l,0.5684,0.0,73.1,26.900000000000002,2018-08-28 03:20:02,2018-08-28 03:20:02
This was so helpful! Thank you!, ,Lisa Edwards,0.7893,0.0,36.4,63.6,2018-07-07 18:31:55,2018-07-07 18:31:55
You're welcome!, ,BeatTheBush,0.5093,0.0,23.3,76.7,2018-07-07 19:40:41,2018-07-07 19:40:41
"I have just ordered something and if I didn't use the locker, the delivery to my house would be roughly \xa36 and it was coming on the day I was going on holiday! It is now scheduled to be in the locker tomorrow and the price was less than \xa32 so it made sense to do.", ,Han,0.4574,0.0,94.6,5.4,2018-06-07 14:40:14,2018-06-07 14:40:14
PERFECT way to use the locker. Nice!, ,BeatTheBush,0.8188,0.0,39.900000000000006,60.099999999999994,2018-06-07 19:25:05,2018-06-07 19:25:05
